Ticker,Clase,Cantidad,Valor_Base_Fijo,Moneda,Var_Manual
IONQ,Acciones EEUU,53.40812,0.0,USD,
GOOG,Acciones EEUU,36.1929,0.0,USD,
UNH,Acciones EEUU,23.83395,0.0,USD,
V,Acciones EEUU,9.10111,0.0,USD,
MSFT,Acciones EEUU,10.84953,0.0,USD,
GLD,Commodities (Oro),48.53481,0.0,USD,
BTC,Criptomonedas,0.13078689,0.0,USD,
ETH,Criptomonedas,0.57562952,0.0,USD,
ADA,Criptomonedas,765.10032522,0.0,USD,
XRP,Criptomonedas,82.24143446,0.0,USD,
Apto Avenida Park,Propiedad Raíz,1.0,950000000.0,COP,
Apto Mediterranea,Propiedad Raíz,1.0,360000000.0,COP,
Broker EEUU,Liquidez USD,1.0,10000.0,USD,
Disponible Broker Col,Liquidez COP,1.0,46506461.0,COP,
Fiducuenta Bancolombia,Fondos de Inversión,1.0,1374381726.0,COP,0.0067746322309473
CIBEST,Acciones Colombia,360.0,74500.0,COP,0.2691790040376851
GRUPOARGOS,Acciones Colombia,31.0,16260.0,COP,3.56687898089172
PFGRUPOARG,Acciones Colombia,2199.0,12560.0,COP,2.113821138211382
GXTESCOL,Acciones Colombia,88.0,54050.0,COP,-1.1955250073120796
PEI,Acciones Colombia,388.0,61440.0,COP,0.9198423127463863
